barcode,medicine_id
8699527340014,MED435
8699527341523,MED907
8699527370028,MED1148
8699527573788,MED240
8699527592208,MED960
8699527593748,MED240
8699529030036,MED1118
8699529120010,MED1117
8699529120027,MED1117
8699532011114,MED256
8699532011121,MED256
8699532014078,MED255
8699532014085,MED255
8699532015327,MED255
8699532015334,MED255
8699532015983,MED256
8699532017802,MED278
8699532017819,MED278
8699532035486,MED256
8699532035493,MED256
8699532090201,MED245
8699532090881,MED378
8699532091420,MED245
8699532091475,MED245
8699532095015,MED245
8699532095190,MED245
8699532095428,MED274
8699532095473,MED274
8699532095527,MED282
8699532095534,MED282
8699532095541,MED245
8699532095633,MED1038
8699532095640,MED1038
8699532095671,MED1038
8699532095688,MED1038
8699532151384,MED184
8699532154453,MED283
8699532154460,MED283
8699532154477,MED283
8699532154484,MED283
8699532154491,MED283
8699532154545,MED283
8699536010205,MED055
8699536010373,MED182
8699536011219,MED1088
8699536011356,MED055
8699536011400,MED998
8699536011424,MED998
8699536011448,MED999
8699536011455,MED999
8699536011462,MED1090
8699536011493,MED1090
8699536011523,MED1090
8699536030234,MED1092
8699536030456,MED1079
8699536030463,MED1079
8699536030470,MED1079
8699536030487,MED1079
8699536040011,MED216
8699536040028,MED216
8699536040035,MED216
8699536090078,MED324
8699536090115,MED006
8699536090153,MED149
8699536090160,MED149
8699536090177,MED149
8699536090214,MED596
8699536090221,MED596
8699536090252,MED1021
8699536090269,MED1022
8699536090757,MED149
8699536090764,MED149
8699536090788,MED1021
8699536090962,MED149
8699536091266,MED1010
8699536091273,MED1010
8699536091280,MED1010
8699536091297,MED1011
8699536091303,MED1011
8699536091310,MED1011
8699536092218,MED1008
8699536092232,MED1008
8699536092300,MED1011
8699536092317,MED1011
8699536092386,MED1009
8699536092393,MED1009
8699536092409,MED1009
8699536092416,MED1009
8699536092492,MED045
8699536092584,MED687
8699536092911,MED1090
8699536092928,MED1090
8699536093024,MED247
8699536093079,MED353
8699536093086,MED353
8699536093093,MED353
8699536093109,MED353
8699536093222,MED1041
8699536093246,MED1041
8699536093260,MED1041
8699536093284,MED1041
8699536093307,MED1090
8699536093314,MED1090
8699536093369,MED1090
8699536093376,MED1090
8699536093482,MED687
8699536093550,MED1079
8699536093574,MED687
8699536093772,MED1089
8699536093789,MED1089
8699536093833,MED1079
8699536093901,MED1079
8699536094106,MED1068
8699536094113,MED1068
8699536150314,MED687
8699536150321,MED687
8699536160016,MED026
8699536160078,MED026
8699536160085,MED026
8699536170053,MED006
8699536280110,MED687
8699536280127,MED687
8699536340029,MED055
8699536510019,MED006
8699536640013,MED006
8699536650111,MED353
8699536770048,MED452
8699540003309,MED112
8699540010321,MED1100
8699540011205,MED206
8699540011304,MED206
8699540013704,MED049
8699540014602,MED108
8699540015081,MED180
8699540015135,MED180
8699540015630,MED1006
8699540015661,MED1006
8699540015692,MED1006
8699540017009,MED1007
8699540017054,MED1007
8699540027862,MED446
8699540027879,MED446
8699540030015,MED113
8699540030756,MED1095
8699540030763,MED1095
8699540031678,MED1095
8699540031708,MED1095
8699540031715,MED1095
8699540040151,MED813
8699540040168,MED813
8699540043770,MED620
8699540043787,MED620
8699540070127,MED1114
8699540070134,MED1114
8699540090064,MED667
8699540090286,MED1015
8699540090743,MED761
8699540091023,MED659
8699540091030,MED659
8699540091054,MED659
8699540091115,MED020
8699540091252,MED1054
8699540091269,MED1054
8699540096417,MED1114
8699540096462,MED1114
8699540096622,MED1064
8699540096660,MED1064
8699540096707,MED1064
8699540096745,MED1064
8699540097865,MED602
8699540098619,MED1015
8699540098718,MED1015
8699540160415,MED777
8699540160453,MED777
8699540171114,MED1050
8699540171121,MED1050
8699540250130,MED049
8699540250321,MED052
8699540270510,MED659
8699540270541,MED659
8699540571204,MED602
8699540701205,MED049
8699540701267,MED049
8699540754003,MED180
8699541010405,MED299
8699541010504,MED299
8699541015226,MED451
8699541090100,MED205
8699541090209,MED205
8699541090223,MED205
8699541095365,MED466
8699541273404,MED674
8699541273503,MED674
8699541280709,MED205
8699541280716,MED205
8699541281850,MED205
8699541350013,MED299
8699541380010,MED299
8699541751605,MED451
8699541790901,MED299
8699541791007,MED299
8699541791205,MED299
8699543010021,MED260
8699543010038,MED260
8699543010045,MED590
8699543010137,MED1076
8699543010144,MED1076
8699543010151,MED756
8699543010212,MED1076
8699543010250,MED394
8699543010274,MED394
8699543010625,MED971
8699543010632,MED971
8699543010649,MED971
8699543010656,MED971
8699543030012,MED1076
8699543030029,MED1076
8699543030036,MED1076
8699543030104,MED1076
8699543030111,MED1076
8699543040042,MED811
8699543040059,MED811
8699543040110,MED811
8699543070254,MED1136
8699543070339,MED1136
8699543090030,MED595
8699543090047,MED595
8699543090061,MED1035
8699543090078,MED1035
8699543090085,MED1035
8699543090092,MED1086
8699543090122,MED1086
8699543090351,MED1035
8699543090368,MED1035
8699543090467,MED1136
8699543090474,MED1136
8699543090498,MED1136
8699543090542,MED1035
8699543090726,MED352
8699543090733,MED352
8699543091075,MED994
8699543091099,MED994
8699543091112,MED995
8699543091136,MED995
8699543091150,MED995
8699543091334,MED1057
8699543091358,MED1057
8699543091372,MED1057
8699543091952,MED823
8699543091969,MED823
8699543092348,MED1073
8699543092355,MED1073
8699543092362,MED1073
8699543092379,MED1073
8699543092409,MED823
8699543092416,MED823
8699543150055,MED370
8699543150062,MED370
8699543150079,MED370
8699543150109,MED370
8699543150208,MED370
8699543150222,MED370
8699543150314,MED1036
8699543150321,MED1036
8699543190020,MED837
8699543190044,MED837
8699543750019,MED590
8699546010011,MED094
8699546010028,MED094
8699546015597,MED003
8699546015610,MED043
8699546015634,MED143
8699546020478,MED096
8699546070879,MED305
8699546080274,MED025
8699546085767,MED023
8699546090372,MED215
8699546095100,MED874
8699546095131,MED064
8699546098248,MED387
8699546099429,MED874
8699546100354,MED291
8699546115198,MED105
8699546130153,MED093
8699546130238,MED093
8699546241231,MED094
8699546241248,MED094
8699546350940,MED290
